timestamp_sec,timestamp_nanosec,trans_x,trans_y,trans_z,quat_x,quat_y,quat_z,quat_w,force_x,force_y,force_z,torque_x,torque_y,torque_z
1769595553,607841412,-0.11404,0.14699,0.88968,0.85428,-0.35689,-0.14708,-0.34813,-2.79965,-2.58618,10.14896,0.10000,-0.10000,0.00000
1769595554,607829795,-0.11356,0.16283,0.91443,0.84173,-0.37162,-0.16902,-0.35329,-2.25532,-2.53673,9.99086,0.09968,-0.10031,-0.00016
1769595555,607842294,-0.10902,0.18714,0.97246,0.80733,-0.39592,-0.21713,-0.37991,-0.49323,-3.39146,9.00764,0.20000,-0.00040,-0.00090
1769595556,607850453,-0.10066,0.20914,1.02687,0.77285,-0.40829,-0.25700,-0.41226,-0.11850,-3.16592,8.44161,0.20009,0.09981,-0.00102
1769595557,607839718,-0.08914,0.22812,1.07746,0.73987,-0.41015,-0.28775,-0.44897,1.08334,-3.57041,6.48445,0.20035,0.10018,0.09912
1769595558,607827797,-0.07572,0.24337,1.12079,0.71165,-0.40375,-0.30810,-0.48539,1.82931,-3.38883,5.52992,0.20012,0.20047,0.09882
1769595559,607839529,-0.06068,0.25536,1.16122,-0.68640,0.38896,0.32002,0.52455,1.90276,-3.13609,4.36865,0.19997,0.20050,0.09905
1769595560,607921766,-0.04456,0.26432,1.19461,-0.66740,0.36828,0.32264,0.56111,1.90880,-2.59697,2.89053,0.19973,0.20070,0.09913
1769595561,607832824,-0.02871,0.26989,1.22053,-0.65538,0.34329,0.31605,0.59392,1.94018,-1.87338,1.88795,0.09957,0.20043,0.09956
1769595562,607840745,-0.01383,0.27271,1.23814,-0.65127,0.31536,0.30191,0.62068,1.39376,-1.55945,1.16000,0.09977,0.10042,0.09982
1769595563,607842983,0.00088,0.27341,1.24689,-0.65488,0.28741,0.28142,0.63979,0.66206,-0.54799,1.29618,0.09998,0.00041,0.10002
1769595564,607839019,0.00385,0.27314,1.24785,-0.65833,0.27690,0.27149,0.64516,0.29273,-0.38588,1.09978,0.10000,-0.00010,0.10000
1769595565,607846797,0.05551,0.27988,1.24214,-0.64632,0.31470,0.30518,0.62458,0.67049,-1.25737,1.57637,0.10047,0.09953,0.00018
1769595566,607848196,0.11822,0.31031,1.21662,-0.64071,0.37116,0.34263,0.57823,2.24301,-2.97545,2.17724,0.20060,0.19900,0.10079
1769595567,607852962,0.16397,0.35913,1.17350,-0.64886,0.42297,0.36478,0.51673,2.36899,-4.19622,3.72058,0.30032,0.19876,0.10148
1769595568,607846009,0.18805,0.41993,1.11453,0.66976,-0.46771,-0.36916,-0.44316,2.65907,-5.73943,5.81050,0.40001,0.19878,0.10234
1769595569,607836402,0.18674,0.48455,1.04262,0.70201,-0.50066,-0.35482,-0.36142,1.62212,-6.60063,7.67601,0.39962,0.19940,0.10269
1769595570,607828646,0.16031,0.54408,0.96134,0.74293,-0.51849,-0.32062,-0.27646,0.25599,-7.79541,9.43413,0.49937,0.09999,0.10312
1769595571,607843058,0.11218,0.59045,0.87471,0.78901,-0.51837,-0.26719,-0.19332,-1.23474,-8.92608,9.70655,0.49999,0.00100,0.00318
1769595572,607844117,0.05182,0.61730,0.79071,0.83385,-0.50007,-0.20065,-0.11987,-3.58397,-8.68885,13.12710,0.50071,-0.19819,0.00288
1769595573,607835470,-0.02103,0.62425,0.70340,0.87856,-0.46053,-0.11544,-0.05214,-6.77247,-8.88397,13.29069,0.50193,-0.39756,0.00282
1769595574,607834219,-0.09609,0.60884,0.62035,0.91614,-0.40041,-0.01901,0.00247,-9.13720,-9.17219,13.64397,0.50261,-0.49736,0.00330
1769595575,607834060,-0.10893,0.60264,0.60909,0.92167,-0.38787,-0.00243,0.00865,-9.45156,-9.02477,13.60344,0.49999,-0.50001,0.00017
1769595576,607859830,-0.11008,0.55898,0.66529,0.92142,-0.38663,-0.01877,-0.03384,-8.60968,-8.19266,13.45342,0.50006,-0.49994,0.00004
1769595577,607843944,-0.11129,0.49757,0.73098,0.91793,-0.38401,-0.04123,-0.09078,-7.14047,-7.22680,13.27057,0.40004,-0.39996,0.00004
1769595578,607842527,-0.11230,0.43110,0.78336,0.91137,-0.38021,-0.06254,-0.14469,-6.15220,-5.94196,13.21715,0.30003,-0.29997,0.00003
1769595579,607837807,-0.11306,0.36340,0.82337,0.90216,-0.37548,-0.08275,-0.19563,-5.37087,-5.06445,12.67646,0.30002,-0.29998,0.00002
1769595580,607837848,-0.11362,0.28847,0.85465,0.88934,-0.36935,-0.10392,-0.24871,-4.57793,-4.27568,12.05849,0.20001,-0.19999,0.00000
1769595581,607847100,-0.11393,0.21197,0.87449,0.87345,-0.36209,-0.12477,-0.30067,-3.57512,-3.07623,11.45705,0.20001,-0.19999,-0.00000
1769595582,607866168,-0.11399,0.15431,0.88330,0.85910,-0.35583,-0.14074,-0.33990,-3.07730,-2.67928,10.22509,0.10000,-0.10000,0.00000
1769595583,607840739,-0.11389,0.15836,0.88724,0.85743,-0.35876,-0.14402,-0.33966,-2.97752,-2.66206,10.23349,0.09978,-0.10022,-0.00013
1769595584,607843351,-0.11043,0.18351,0.93935,0.82838,-0.38648,-0.19019,-0.35812,-1.90485,-3.40136,10.22711,0.20000,-0.00053,-0.00081
1769595585,607843168,-0.10293,0.20576,0.99644,0.79303,-0.40519,-0.23603,-0.38886,-0.75548,-3.56709,8.45390,0.20000,-0.00037,-0.00077
1769595586,607837846,-0.09259,0.22458,1.04639,0.76049,-0.41275,-0.27062,-0.42198,0.13062,-3.35639,7.19294,0.20008,0.09983,-0.00089
1769595587,607914322,-0.07906,0.24130,1.09536,0.72814,-0.41096,-0.29814,-0.46048,0.65384,-3.46719,5.64199,0.20029,0.10031,0.09909
1769595588,607844183,-0.06379,0.25423,1.13920,-0.69957,0.40066,0.31541,0.50060,1.61345,-3.30415,4.48268,0.20020,0.10044,0.09915
1769595589,607829124,-0.04840,0.26334,1.17713,-0.67667,0.38218,0.32333,0.53992,2.09975,-2.65490,3.61796,0.19988,0.20057,0.09908
1769595590,607835043,-0.03335,0.26920,1.20747,-0.66075,0.35835,0.32171,0.57576,2.01612,-2.32502,2.53655,0.19968,0.20068,0.09927
1769595591,607842552,-0.01920,0.27230,1.22978,-0.65234,0.33108,0.31109,0.60668,1.65926,-1.80940,1.82480,0.19985,0.10065,0.09965
1769595592,607822229,-0.00531,0.27351,1.24334,-0.65180,0.30273,0.29323,0.63050,1.22314,-1.19799,1.48014,0.09974,0.10039,0.09987
