timestamp_sec,timestamp_nanosec,trans_x,trans_y,trans_z,quat_x,quat_y,quat_z,quat_w,force_x,force_y,force_z,torque_x,torque_y,torque_z
1769597300,692974265,0.18923,0.25162,1.21947,-0.58801,0.44887,0.19507,0.64397,1.32918,-1.79991,2.09930,0.09975,0.10003,0.10022
1769597301,196965825,0.23971,0.23763,1.20136,-0.56792,0.49779,0.17245,0.63240,1.59465,-2.24409,2.83091,0.09973,0.09999,0.10028
1769597301,692988459,0.28715,0.22062,1.17926,-0.54856,0.54491,0.14986,0.61619,1.47057,-2.48998,3.54902,0.19967,0.09971,0.10095
1769597302,196983321,0.33115,0.20086,1.15336,-0.52982,0.59056,0.12708,0.59530,1.25997,-2.94024,4.15131,0.19969,0.09962,0.10100
1769597302,692960208,0.36720,0.18111,1.12733,-0.51367,0.62962,0.10733,0.57289,1.06332,-3.39342,4.84538,0.19966,0.09961,0.10107
1769597303,196995651,0.40353,0.15704,1.09523,-0.49646,0.67117,0.08607,0.54374,1.18317,-3.65014,5.33259,0.19963,0.09959,0.10115
1769597303,692987754,0.43541,0.13114,1.06020,-0.48010,0.71046,0.06595,0.51030,0.71520,-3.90796,6.41288,0.20024,0.09950,0.00123
1769597304,196998057,0.46238,0.10411,1.02286,-0.46495,0.74691,0.04731,0.47298,-0.03304,-4.46583,7.28835,0.20023,0.09953,0.00122
1769597304,692969945,0.48418,0.07626,0.98388,-0.45095,0.78028,0.03033,0.43230,-0.37430,-4.63065,8.76789,0.29999,-0.00073,0.00202
1769597305,196973479,0.50098,0.04808,0.94313,-0.43833,0.81054,0.01559,0.38814,-1.28780,-4.98950,9.34765,0.29999,-0.00069,0.00196
1769597305,692991961,0.51260,0.01991,0.90149,-0.42683,0.83749,0.00323,0.34120,-2.09057,-5.35171,10.23536,0.29981,-0.10055,0.00186
1769597306,196973056,0.51917,-0.00766,0.85919,-0.41696,0.86081,-0.00656,0.29172,-3.47965,-5.90702,11.02793,0.29983,-0.10050,0.00183
1769597306,692985695,0.52077,-0.03435,0.81677,-0.40847,0.88051,-0.01366,0.24016,-4.35971,-6.16233,12.13730,0.29974,-0.20039,0.00161
1769597307,197018172,0.51767,-0.05965,0.77463,-0.40167,0.89632,-0.01792,0.18694,-5.62365,-6.61185,12.55609,0.39965,-0.30046,0.00187
1769597307,693000419,0.51011,-0.08336,0.73314,-0.39642,0.90826,-0.01931,0.13245,-6.67999,-7.45615,12.69252,0.39959,-0.40041,0.00130
1769597308,196992829,0.49841,-0.10521,0.69239,-0.39273,0.91624,-0.01733,0.07723,-8.23532,-7.88969,13.44490,0.49969,-0.50031,0.00156
1769597308,692984355,0.48305,-0.12475,0.65320,-0.39074,0.92016,-0.01248,0.02196,-9.28659,-8.81700,13.51873,0.49984,-0.50016,0.00135
1769597309,197001734,0.47770,-0.12946,0.64081,-0.39031,0.92062,-0.01030,0.00401,-9.64983,-8.74536,13.90438,0.50003,-0.49997,-0.00002
1769597309,692982783,0.47775,-0.12939,0.64095,-0.39036,0.92059,-0.01035,0.00418,-9.45521,-8.54827,13.49937,0.49999,-0.50001,0.00001
1769597310,196972511,0.48105,-0.12609,0.64300,-0.39268,0.91961,-0.01051,0.00433,-9.44559,-8.26590,13.89665,0.50075,-0.49925,0.00003
1769597310,692966467,0.49612,-0.10916,0.66037,-0.40692,0.91321,-0.01870,0.01106,-9.43647,-8.17350,13.82572,0.50121,-0.49879,0.00090
1769597311,196990923,0.51255,-0.08688,0.68708,-0.42516,0.90414,-0.03391,0.02483,-9.35041,-7.62640,13.13706,0.40114,-0.49908,0.00105
1769597311,692997501,0.52644,-0.06319,0.71378,-0.44237,0.89466,-0.04816,0.03971,-9.16497,-7.27154,13.65116,0.40111,-0.49911,0.00129
1769597312,197015760,0.53760,-0.03827,0.74015,-0.45893,0.88462,-0.06136,0.05537,-8.68459,-6.83701,13.35518,0.40120,-0.49903,0.00104
1769597312,692967330,0.54627,-0.01203,0.76532,-0.47504,0.87403,-0.07300,0.07131,-8.50253,-5.98875,13.66583,0.30127,-0.49923,0.00119
1769597313,197038710,0.55216,0.01537,0.79045,-0.49088,0.86268,-0.08383,0.08827,-8.42549,-5.74633,13.37786,0.30121,-0.49927,0.00104
1769597313,692999906,0.55519,0.04341,0.81511,-0.50607,0.85083,-0.09354,0.10596,-8.34813,-5.10608,13.39017,0.30134,-0.49919,0.00083
1769597314,196974783,0.55549,0.07233,0.83899,-0.52113,0.83823,-0.10195,0.12414,-8.07462,-4.84875,13.20969,0.30108,-0.49935,0.00097
1769597314,692967383,0.55285,0.10113,0.86245,-0.53550,0.82511,-0.10935,0.14305,-8.00008,-4.59944,12.82993,0.30081,-0.39939,0.00058
1769597315,196983469,0.54733,0.12958,0.88538,-0.54908,0.81158,-0.11571,0.16269,-7.72670,-4.15960,12.34947,0.20097,-0.39951,0.00060
1769597315,692987859,0.53900,0.15797,0.90740,-0.56246,0.79731,-0.12069,0.18268,-7.15649,-3.70323,12.47117,0.20082,-0.39959,0.00058
1769597316,196978074,0.52792,0.18524,0.92864,-0.57492,0.78278,-0.12449,0.20304,-7.28113,-3.35603,12.29946,0.20098,-0.39951,0.00043
1769597316,692979168,0.51602,0.20903,0.94650,-0.58583,0.76929,-0.12668,0.22125,-6.70895,-2.89180,12.02847,0.20086,-0.39957,0.00053
1769597317,196963131,0.49995,0.23459,0.96608,-0.59743,0.75364,-0.12805,0.24230,-6.64327,-2.53904,11.55745,0.10076,-0.39981,0.00071
1769597317,692999125,0.48166,0.25867,0.98453,-0.60829,0.73763,-0.12811,0.26357,-6.47490,-2.17897,11.38914,0.10073,-0.39982,0.00072
1769597318,196990672,0.46115,0.28109,1.00195,-0.61858,0.72114,-0.12688,0.28498,-6.30748,-1.91857,11.22344,0.10064,-0.39984,0.00066
1769597318,692984823,0.43863,0.30158,1.01817,-0.62819,0.70436,-0.12429,0.30630,-5.93897,-1.35440,10.95859,0.10046,-0.29985,0.00041
1769597319,197001781,0.41430,0.32005,1.03332,-0.63705,0.68716,-0.12043,0.32782,-5.57394,-1.19278,10.29617,0.10042,-0.29986,0.00033
1769597319,692989749,0.38844,0.33634,1.04720,-0.64526,0.66965,-0.11524,0.34918,-5.10702,-0.92614,10.13447,0.00038,-0.30000,0.00062
1769597320,196987765,0.36143,0.35030,1.05973,0.65270,-0.65196,0.10872,-0.37030,-5.03752,-0.85747,9.77847,0.00041,-0.30000,0.00064
1769597320,692973993,0.33317,0.36192,1.07105,0.65953,-0.63378,0.10092,-0.39134,-4.66941,-0.68477,9.72091,0.00033,-0.30000,0.00062
1769597321,196963504,0.30422,0.37083,1.08105,0.66537,-0.61569,0.09187,-0.41203,-4.29844,-0.31497,9.66670,0.00030,-0.20000,0.00036
1769597321,693009293,0.27450,0.37760,1.08966,0.67078,-0.59696,0.08141,-0.43251,-3.93863,-0.23936,8.31105,0.00021,-0.20000,0.00035
1769597322,196981842,0.24466,0.38165,1.09688,0.67524,-0.57826,0.06981,-0.45254,-3.86847,0.13711,8.66009,0.00021,-0.20000,0.00030
1769597322,692999975,0.21471,0.38327,1.10262,0.67909,-0.55938,0.05690,-0.47190,-3.29953,0.32016,8.20762,0.00017,-0.20000,0.00034
1769597323,197058290,0.18476,0.38247,1.10697,0.68219,-0.54020,0.04266,-0.49090,-3.13636,0.20329,7.45808,0.00011,-0.20000,0.00035
1769597323,692978235,0.15875,0.37952,1.10965,-0.68404,0.52333,-0.02922,0.50730,-2.66507,0.68532,7.30898,-0.09992,-0.10008,0.00056
1769597324,197006861,0.13019,0.37436,1.11116,-0.68563,0.50418,-0.01298,0.52492,-2.69358,0.47408,6.86411,0.00006,-0.10000,0.00015
1769597324,692970370,0.10222,0.36677,1.11134,-0.68630,0.48488,0.00447,0.54209,-2.22761,0.66060,5.81665,0.00005,-0.10000,0.00011
1769597325,196969758,0.07537,0.35705,1.11000,-0.68618,0.46570,0.02294,0.55836,-1.95579,0.95114,5.77208,-0.09995,-0.10005,0.00054
1769597325,692984220,0.04970,0.34559,1.10713,-0.68538,0.44637,0.04254,0.57376,-1.78458,0.64686,5.32741,0.00003,-0.10000,0.00009
1769597326,197007554,0.02548,0.33236,1.10280,-0.68380,0.42721,0.06306,0.58816,-1.41101,0.94356,5.08359,0.00001,-0.10000,0.00008
1769597326,692995523,0.00295,0.31794,1.09701,-0.68160,0.40824,0.08450,0.60135,-1.33723,0.64397,4.14075,0.00001,-0.10000,0.00012
1769597327,196990110,-0.01824,0.30165,1.08979,-0.67827,0.38913,0.10698,0.61407,-0.96386,0.94402,3.89844,0.00000,0.00000,-0.00000
1769597327,692967935,-0.03754,0.28442,1.08112,-0.67438,0.37033,0.13010,0.62541,-0.78615,0.84759,3.45640,0.00000,0.00000,-0.00000
1769597328,196977144,-0.05510,0.26612,1.07111,-0.66960,0.35153,0.15403,0.63588,-0.71323,0.55230,2.01674,0.00000,0.00000,-0.00000
1769597328,692983136,-0.07073,0.24719,1.05982,-0.66404,0.33317,0.17862,0.64510,-0.53063,0.55984,2.17577,0.00000,0.00000,-0.00000
1769597329,196987162,-0.08458,0.22793,1.04710,-0.65791,0.31492,0.20392,0.65299,-0.44772,0.67015,2.23533,0.00000,0.00000,-0.00000
1769597329,692981199,-0.09663,0.20835,1.03305,-0.65105,0.29700,0.22987,0.65961,-0.26578,0.28217,1.59394,0.00000,0.00000,-0.00000
1769597330,196991708,-0.10692,0.18829,1.01775,-0.64328,0.27913,0.25634,0.66525,-0.48287,-0.10395,0.85609,0.00000,0.00000,-0.00000
1769597330,692982315,-0.11356,0.17031,1.00555,-0.63453,0.26404,0.27715,0.67145,-0.19209,-0.29364,-3.28702,0.00000,0.00000,-0.00000
1769597331,196980434,-0.11353,0.17034,1.00552,-0.63456,0.26411,0.27704,0.67144,0.20743,0.20610,0.61260,0.00000,0.00000,-0.00000
1769597331,692982978,-0.11353,0.16647,1.01459,-0.63342,0.26366,0.27748,0.67251,0.10762,-0.09374,0.01759,0.00000,0.00000,-0.00000
1769597332,196978833,-0.11357,0.16422,1.03410,-0.63829,0.26559,0.27564,0.66789,0.00584,0.10475,0.49406,0.00000,0.00000,-0.00000
1769597332,693006190,-0.11357,0.16572,1.05338,-0.64624,0.26891,0.27246,0.66017,-0.09575,0.00309,0.65828,0.00000,0.00000,-0.00000
1769597333,197014466,-0.11360,0.16737,1.07119,-0.65407,0.27207,0.26933,0.65241,0.20374,-0.09740,0.72325,0.00000,0.00000,-0.00000
1769597333,692990116,-0.11360,0.16807,1.08773,-0.66089,0.27489,0.26649,0.64547,0.20327,0.00212,0.99223,0.00000,0.00000,-0.00000
1769597334,196999077,-0.11360,0.16864,1.10323,-0.66773,0.27769,0.26352,0.63842,-0.09649,0.10198,1.66017,0.00000,0.00000,-0.00000
1769597334,692999229,-0.11361,0.16887,1.11773,-0.67434,0.28045,0.26070,0.63139,-0.19626,0.10246,1.92920,0.00000,0.00000,-0.00000
1769597335,197017799,-0.11362,0.16932,1.13106,-0.68096,0.28317,0.25775,0.62424,-0.19558,0.20318,2.49766,0.00000,0.00000,-0.00000
1769597335,692971901,-0.11362,0.16964,1.14326,-0.68750,0.28587,0.25477,0.61703,-0.09436,-0.09578,2.86650,0.00000,0.00000,-0.00000
1769597336,196980359,-0.11364,0.17014,1.15438,-0.69409,0.28857,0.25174,0.60959,-0.09122,0.10752,2.43466,0.00000,0.00000,-0.00000
1769597336,692985084,-0.11366,0.17022,1.16431,-0.70054,0.29115,0.24870,0.60218,-0.38864,0.00992,2.90320,0.00000,0.00000,-0.00000
1769597337,197009790,-0.11366,0.17049,1.17306,-0.70693,0.29385,0.24558,0.59463,-0.18484,-0.08630,2.77154,0.00000,0.00000,-0.00000
1769597337,693006282,-0.11368,0.17020,1.17988,-0.71225,0.29602,0.24300,0.58824,-0.18310,-0.18465,3.04154,0.00000,0.00000,-0.00000
1769597338,197020223,-0.11368,0.17043,1.18633,-0.71856,0.29863,0.23981,0.58050,-0.17884,0.01966,3.80958,0.00000,0.00000,-0.00000
1769597338,693003514,-0.11369,0.17040,1.19159,-0.72463,0.30112,0.23669,0.57290,-0.27497,-0.17601,3.97882,0.00000,0.00000,-0.00000
1769597339,197017531,-0.11370,0.17030,1.19558,-0.73073,0.30362,0.23349,0.56509,-0.37019,-0.17137,4.74812,0.00000,0.00000,-0.00000
1769597339,692996113,-0.11371,0.16992,1.19841,-0.73670,0.30603,0.23026,0.55731,-0.56512,-0.16718,5.01781,0.00000,0.00000,-0.00000
1769597340,197030710,-0.11372,0.16975,1.19987,-0.74256,0.30849,0.22706,0.54944,-0.55904,-0.16069,4.58672,0.00000,0.00000,-0.00000
1769597340,692969648,-0.11373,0.16967,1.20003,-0.74848,0.31086,0.22372,0.54139,-0.65197,-0.05380,5.55642,0.00000,0.00000,-0.00000
1769597341,197007617,-0.11376,0.16898,1.19905,-0.75403,0.31315,0.22060,0.53359,-0.74742,-0.24862,5.52629,0.00000,0.00000,-0.00000
1769597341,692980224,-0.11376,0.16864,1.19669,-0.75970,0.31547,0.21721,0.52550,-0.73968,-0.44070,5.79641,0.00000,0.00000,-0.00000
1769597342,196966676,-0.11378,0.16805,1.19311,-0.76524,0.31765,0.21391,0.51745,-0.53198,-0.43366,6.16681,0.00000,0.00000,-0.00000
1769597342,692994464,-0.11378,0.16746,1.18828,-0.77061,0.31993,0.21058,0.50937,-0.72460,-0.52575,5.83752,0.00000,0.00000,-0.00000
1769597343,197001089,-0.11379,0.16701,1.18205,-0.77607,0.32221,0.20714,0.50098,-0.91401,-0.71537,6.20770,0.00000,0.00000,-0.00000
1769597343,693001793,-0.11380,0.16616,1.17473,0.78130,-0.32424,-0.20375,-0.49288,-0.70659,-0.60861,6.57945,0.00000,0.00000,-0.00000
1769597344,196980701,-0.11381,0.16519,1.16614,0.78639,-0.32638,-0.20042,-0.48467,-0.79915,-0.60107,7.15067,0.00000,0.00000,-0.00000
1769597344,692978883,-0.11383,0.16443,1.15735,0.79099,-0.32821,-0.19732,-0.47715,-1.18690,-0.98964,6.62185,0.00000,0.00000,-0.00000
1769597345,196985010,-0.11385,0.16359,1.14641,0.79598,-0.33025,-0.19390,-0.46877,-1.27836,-0.97985,6.99352,0.00000,0.00000,-0.00000
1769597345,692970121,-0.11384,0.16246,1.13420,0.80089,-0.33229,-0.19039,-0.46034,-1.26766,-0.96921,7.46611,0.00000,0.00000,-0.00000
1769597346,196975093,-0.11386,0.16133,1.12080,0.80574,-0.33419,-0.18689,-0.45185,-1.55696,-1.15931,7.13799,0.10000,-0.00000,0.00010
1769597346,692987834,-0.11387,0.16039,1.10610,0.81056,-0.33621,-0.18331,-0.44312,-1.94505,-1.44668,7.61072,0.10000,-0.10000,0.00000
1769597347,196988300,-0.11388,0.15912,1.09031,0.81522,-0.33807,-0.17975,-0.43453,-1.83200,-1.53456,7.18392,0.10000,-0.10000,-0.00001
1769597347,692989985,-0.11390,0.15769,1.07352,0.81970,-0.33992,-0.17629,-0.42599,-1.92282,-1.52462,7.95737,0.10000,0.00000,0.00011
1769597348,196964675,-0.11389,0.15647,1.05539,0.82421,-0.34183,-0.17263,-0.41718,-2.00926,-1.41065,9.23164,0.10000,-0.10000,0.00000
1769597348,692996314,-0.11392,0.15508,1.03628,0.82861,-0.34351,-0.16903,-0.40845,-2.09609,-1.79750,8.60582,0.10000,-0.10000,0.00001
1769597349,196978224,-0.11393,0.15354,1.01605,0.83286,-0.34525,-0.16546,-0.39971,-2.08350,-1.68524,8.88038,0.10000,-0.10000,0.00000
1769597349,692991168,-0.11392,0.15203,0.99476,0.83704,-0.34705,-0.16176,-0.39083,-2.16892,-1.87124,8.75569,0.10001,-0.09999,-0.00000
1769597350,197010659,-0.11394,0.15044,0.97246,0.84119,-0.34864,-0.15809,-0.38192,-2.35464,-1.75659,9.03119,0.10000,-0.10000,0.00000
