idx,x,y,z,nx,ny,nz,dx,dy,dz,seg_len,cumulative_len
0,0.486662,0.370220,0.776917,0.340682,-0.879774,0.331563,-0.929845,-0.196948,0.310804,0.000000,0.000000
1,0.481350,0.369215,0.778549,0.231089,-0.893378,0.385323,-0.948480,-0.164851,0.270572,0.005647,0.005647
2,0.478516,0.368804,0.779241,0.203901,-0.834219,0.512350,-0.961354,-0.140497,0.236767,0.002946,0.008593
3,0.474693,0.368242,0.780189,0.257643,-0.823353,0.505677,-0.952172,-0.196556,0.233955,0.003978,0.012571
4,0.470744,0.367200,0.781151,0.326025,-0.868734,0.372839,-0.938703,-0.250531,0.236793,0.004196,0.016767
5,0.466879,0.366157,0.782160,0.344309,-0.853873,0.390322,-0.953077,-0.191935,0.234105,0.004129,0.020896
6,0.463097,0.364946,0.783100,0.406599,-0.827341,0.387536,-0.957739,-0.183710,0.221332,0.004081,0.024977
7,0.459446,0.363751,0.783849,0.296700,-0.912140,0.282790,-0.961373,-0.176193,0.211465,0.003914,0.028891
8,0.455465,0.362645,0.785148,0.213335,-0.907574,0.361659,-0.964398,-0.168670,0.203682,0.004331,0.033221
9,0.451471,0.361956,0.786599,0.187365,-0.909496,0.371096,-0.968573,-0.153860,0.195429,0.004305,0.037527
10,0.447300,0.360717,0.788041,0.163339,-0.910861,0.379014,-0.973532,-0.131846,0.186689,0.004584,0.042111
11,0.442850,0.359704,0.789173,0.142225,-0.911959,0.384841,-0.978508,-0.105736,0.177036,0.004702,0.046813
12,0.437736,0.358015,0.790449,0.126588,-0.912840,0.388200,-0.982701,-0.082838,0.165641,0.005534,0.052347
13,0.432339,0.357207,0.791107,0.117886,-0.916895,0.381321,-0.986349,-0.060390,0.153193,0.005497,0.057844
14,0.427599,0.356800,0.791378,0.106478,-0.921051,0.374603,-0.989182,-0.039021,0.141407,0.004765,0.062609
15,0.421259,0.356707,0.791672,0.086890,-0.923127,0.374548,-0.991502,-0.017405,0.128919,0.006347,0.068956
16,0.416429,0.358299,0.791264,0.067575,-0.924397,0.375399,-0.993283,0.003503,0.115655,0.005103,0.074059
17,0.411655,0.357972,0.791465,0.042562,-0.925700,0.375857,-0.994473,0.023445,0.102341,0.004789,0.078848
18,0.406712,0.358824,0.791723,0.022906,-0.922701,0.384835,-0.995079,0.042370,0.089569,0.005023,0.083871
19,0.403485,0.360107,0.792094,0.004202,-0.920665,0.390331,-0.995189,0.059431,0.077884,0.003492,0.087363
20,0.399520,0.361047,0.792372,-0.017039,-0.913822,0.405758,-0.994799,0.075508,0.068369,0.004084,0.091447
21,0.395143,0.361994,0.792754,-0.043251,-0.905774,0.421549,-0.993998,0.091354,0.060182,0.004495,0.095942
