idx,x,y,z,nx,ny,nz,dx,dy,dz,seg_len,cumulative_len
0,-0.015873,0.325935,0.746354,0.165918,-0.961531,0.218930,-0.975836,-0.147005,0.161658,0.000000,0.000000
1,-0.021466,0.324925,0.746788,0.241128,-0.946275,0.215456,-0.976851,-0.190790,0.096758,0.005700,0.005700
2,-0.024435,0.324262,0.747202,0.241128,-0.946275,0.215456,-0.976941,-0.165311,0.135121,0.003070,0.008770
3,-0.028558,0.323725,0.747769,0.241049,-0.914013,0.326305,-0.982556,-0.139711,0.122738,0.004196,0.012967
4,-0.032650,0.323094,0.748229,0.078508,-0.982289,0.170131,-0.985751,-0.129512,0.107338,0.004166,0.017133
5,-0.036693,0.322656,0.748655,0.228311,-0.959306,0.166151,-0.985634,-0.126277,0.112156,0.004088,0.021221
6,-0.040741,0.321776,0.749135,0.228311,-0.959306,0.166151,-0.987377,-0.117984,0.105668,0.004170,0.025391
7,-0.044804,0.321093,0.749680,0.106125,-0.975018,0.195133,-0.989046,-0.104215,0.104533,0.004156,0.029547
8,-0.049022,0.320694,0.749981,0.105040,-0.973086,0.205112,-0.990867,-0.091123,0.099396,0.004248,0.033795
9,-0.053058,0.320017,0.750342,0.092213,-0.974591,0.204132,-0.992393,-0.078291,0.095011,0.004109,0.037903
10,-0.057013,0.319312,0.750766,0.079350,-0.975934,0.203117,-0.993755,-0.064038,0.091376,0.004039,0.041943
11,-0.061155,0.318844,0.751153,0.063432,-0.977307,0.202109,-0.995223,-0.044901,0.086691,0.004187,0.046130
12,-0.065208,0.318621,0.751474,0.039937,-0.978612,0.201799,-0.996221,-0.027380,0.082428,0.004072,0.050201
13,-0.069221,0.318725,0.751707,0.016512,-0.979375,0.201376,-0.997071,-0.009311,0.075908,0.004021,0.054222
14,-0.073448,0.319083,0.752199,-0.006375,-0.980826,0.194780,-0.997598,0.009508,0.068616,0.004270,0.058493
15,-0.077492,0.319646,0.752434,-0.024609,-0.980291,0.196020,-0.997750,0.029711,0.060102,0.004090,0.062583
16,-0.081530,0.320370,0.752687,-0.048369,-0.979567,0.195217,-0.997531,0.049664,0.049660,0.004110,0.066693
17,-0.085916,0.319987,0.753150,-0.071594,-0.978836,0.191712,-0.996979,0.068100,0.037354,0.004427,0.071119
18,-0.090074,0.319317,0.753482,-0.088947,-0.978325,0.186997,-0.996148,0.084636,0.022933,0.004225,0.075344
19,-0.094107,0.319833,0.753706,-0.103548,-0.977324,0.184702,-0.995094,0.098729,0.006393,0.004072,0.079417
20,-0.098158,0.320298,0.753925,-0.122012,-0.975048,0.185459,-0.993801,0.110480,-0.012392,0.004084,0.083500
21,-0.101983,0.320910,0.753875,-0.136713,-0.973762,0.181929,-0.992173,0.120342,-0.033330,0.003874,0.087374
22,-0.105867,0.321683,0.753999,-0.145431,-0.972956,0.179461,-0.990228,0.127658,-0.056149,0.003962,0.091336
23,-0.109686,0.322696,0.754162,-0.154769,-0.971247,0.180905,-0.988048,0.131252,-0.080834,0.003955,0.095291
24,-0.113532,0.323638,0.754004,-0.155679,-0.970765,0.182698,-0.985635,0.130946,-0.106659,0.003963,0.099254
25,-0.117383,0.324755,0.753800,-0.156589,-0.970280,0.184490,-0.982945,0.126597,-0.133387,0.004014,0.103268
26,-0.121354,0.325968,0.753582,-0.151700,-0.968995,0.195025,-0.979835,0.118534,-0.160849,0.004158,0.107426
27,-0.125474,0.326904,0.752624,-0.146521,-0.967668,0.205304,-0.976174,0.107805,-0.188313,0.004333,0.111759
28,-0.129482,0.327900,0.752111,-0.150078,-0.961641,0.229614,-0.971923,0.095019,-0.215262,0.004161,0.115920
29,-0.133694,0.328570,0.750854,-0.144840,-0.958751,0.244578,-0.967183,0.080213,-0.241085,0.004446,0.120366
30,-0.137942,0.328843,0.749303,-0.146172,-0.955042,0.257932,-0.961996,0.063594,-0.265556,0.004531,0.124897
31,-0.142186,0.329060,0.747863,-0.147478,-0.951140,0.271264,-0.956245,0.044411,-0.289178,0.004487,0.129384
32,-0.146211,0.329084,0.745729,-0.140187,-0.947567,0.287167,-0.949265,0.021043,-0.313773,0.004556,0.133939
33,-0.150651,0.329109,0.743967,-0.128908,-0.944406,0.302457,-0.940149,-0.005548,-0.340719,0.004777,0.138717
34,-0.154771,0.328977,0.742067,-0.117697,-0.940870,0.317666,-0.928504,-0.033935,-0.369767,0.004539,0.143256
35,-0.159038,0.328741,0.740078,-0.108468,-0.936567,0.333281,-0.913802,-0.064210,-0.401053,0.004714,0.147969
36,-0.163229,0.328001,0.738207,-0.094473,-0.932415,0.348824,-0.894993,-0.096387,-0.435543,0.004649,0.152618
37,-0.167172,0.327372,0.736419,-0.083532,-0.926348,0.367290,-0.870084,-0.131057,-0.475161,0.004375,0.156993
38,-0.171057,0.326628,0.734632,-0.073004,-0.918806,0.387899,-0.835784,-0.169058,-0.522383,0.004341,0.161334
39,-0.175062,0.325655,0.732731,-0.063459,-0.911321,0.406777,-0.786469,-0.210303,-0.580723,0.004538,0.165872
40,-0.179066,0.325123,0.731159,-0.053506,-0.904367,0.423388,-0.714639,-0.253641,-0.651888,0.004335,0.170207
41,-0.182979,0.324701,0.729315,-0.042591,-0.902111,0.429397,-0.613810,-0.296930,-0.731485,0.004346,0.174553
42,-0.186921,0.324182,0.727807,-0.030984,-0.899740,0.435324,-0.480608,-0.337619,-0.809339,0.004252,0.178805
43,-0.190092,0.323462,0.726549,-0.027094,-0.898022,0.439116,-0.314555,-0.371224,-0.873641,0.003487,0.182292
44,-0.192282,0.322828,0.725451,-0.013168,-0.902026,0.431480,-0.118357,-0.392519,-0.912097,0.002531,0.184823
45,-0.193314,0.322290,0.724532,-0.014812,-0.904626,0.425949,0.098116,-0.396828,-0.912634,0.001483,0.186306
46,-0.193067,0.321893,0.723874,-0.016461,-0.907197,0.420384,0.314823,-0.380940,-0.869351,0.000807,0.187113
47,-0.191607,0.321530,0.723338,-0.010946,-0.909475,0.415615,0.509312,-0.346633,-0.787684,0.001597,0.188710
48,-0.189117,0.321242,0.723057,-0.005683,-0.906257,0.422688,0.667592,-0.299917,-0.681447,0.002522,0.191232
