idx,x,y,z,nx,ny,nz,seg_len,cumulative_len
0,0.170772,0.322534,0.641689,0.402345,-0.910547,-0.094988,0.000000,0.000000
1,0.171437,0.322297,0.645907,0.239338,-0.965696,-0.100742,0.004277,0.004277
2,0.170772,0.322534,0.641689,0.402345,-0.910547,-0.094988,0.004277,0.008554
3,0.170582,0.322417,0.636139,0.402186,-0.910186,0.099040,0.005554,0.014108
4,0.170403,0.322493,0.633150,0.402186,-0.910186,0.099040,0.002996,0.017103
5,0.170059,0.322708,0.628974,0.263805,-0.955217,-0.134044,0.004195,0.021298
6,0.169759,0.323013,0.624826,0.263805,-0.955217,-0.134044,0.004170,0.025469
7,0.169440,0.323409,0.620757,0.264992,-0.942849,-0.202030,0.004101,0.029570
8,0.169127,0.324038,0.616681,0.264992,-0.942849,-0.202030,0.004136,0.033705
9,0.168789,0.324784,0.612604,0.227904,-0.950229,-0.212426,0.004159,0.037864
10,0.168484,0.325561,0.608697,0.227904,-0.950229,-0.212426,0.003995,0.041859
11,0.168093,0.326401,0.604529,0.140795,-0.974265,-0.176025,0.004270,0.046129
12,0.167214,0.327099,0.600481,0.086582,-0.969632,-0.228732,0.004200,0.050330
13,0.165994,0.327613,0.596603,0.086582,-0.969632,-0.228732,0.004097,0.054427
14,0.164400,0.327941,0.592901,0.155517,-0.979323,-0.129385,0.004044,0.058471
15,0.162359,0.328035,0.589453,0.185050,-0.968730,-0.165281,0.004008,0.062479
16,0.159902,0.327980,0.586161,0.219962,-0.973173,-0.067465,0.004108,0.066587
17,0.157064,0.327820,0.582944,0.219962,-0.973173,-0.067465,0.004293,0.070880
18,0.153967,0.327542,0.580157,0.227808,-0.965326,-0.127475,0.004176,0.075056
19,0.150968,0.327318,0.577436,0.227808,-0.965326,-0.127475,0.004055,0.079111
20,0.147853,0.327165,0.574721,0.172065,-0.967729,-0.184103,0.004135,0.083246
21,0.144813,0.327132,0.572030,0.114605,-0.977448,-0.177371,0.004061,0.087307
22,0.141844,0.327210,0.569377,0.114605,-0.977448,-0.177371,0.003982,0.091288
23,0.139188,0.327275,0.567371,0.114605,-0.977448,-0.177371,0.003330,0.094618
24,0.136911,0.327204,0.566293,0.070090,-0.959846,-0.271630,0.002520,0.097138
25,0.135091,0.326960,0.566183,0.070090,-0.959846,-0.271630,0.001839,0.098978
26,0.133732,0.326526,0.567071,0.070090,-0.959846,-0.271630,0.001680,0.100658
27,0.132927,0.325902,0.568870,0.070090,-0.959846,-0.271630,0.002068,0.102726
28,0.132547,0.325131,0.571600,0.169269,-0.969733,-0.175971,0.002862,0.105588
29,0.132621,0.324318,0.575210,0.161683,-0.926277,-0.340396,0.003701,0.109289
30,0.132868,0.323564,0.579204,0.267482,-0.933567,-0.238549,0.004072,0.113361
31,0.133172,0.322941,0.583212,0.272744,-0.951934,-0.139399,0.004068,0.117429
32,0.133474,0.322406,0.587295,0.121270,-0.992461,0.017751,0.004129,0.121557
33,0.133840,0.321897,0.591356,0.121097,-0.991048,-0.056204,0.004109,0.125666
34,0.134246,0.321410,0.595453,0.171229,-0.985230,0.001656,0.004146,0.129812
35,0.134625,0.320845,0.599603,0.178847,-0.964831,-0.192650,0.004206,0.134018
36,0.134978,0.320166,0.603744,0.258889,-0.924775,-0.278870,0.004211,0.138229
37,0.135276,0.319359,0.607906,0.255857,-0.910254,-0.325537,0.004250,0.142479
38,0.135582,0.318542,0.612148,0.101013,-0.979199,-0.175971,0.004330,0.146809
39,0.135879,0.317794,0.616359,0.099774,-0.967187,-0.233655,0.004287,0.151097
40,0.136133,0.317239,0.620632,-0.021392,-0.993011,-0.116064,0.004317,0.155413
